"","Entity","Year","Disasters","Deaths"
"1","World",1900,"Drought",126100
"2","World",1900,"Earthquakes",15314.8
"3","World",1900,"VolcanicActivities",3943.7
"4","World",1900,"Floods",62.8
"5","World",1900,"MassMovements",12.7
"6","World",1900,"Storms",1801.4
"7","World",1900,"Landslides",5.3
"8","World",1900,"Fog",0
"9","World",1900,"Wildfires",0
"10","World",1900,"ExtremeTemperature",0
"11","World",1900,"GlacialLakeOutbursts",0
"12","World",1910,"Drought",8500
"13","World",1910,"Earthquakes",7031.1
"14","World",1910,"VolcanicActivities",647.5
"15","World",1910,"Floods",10137.9
"16","World",1910,"MassMovements",0
"17","World",1910,"Storms",5994.8
"18","World",1910,"Landslides",11.8
"19","World",1910,"Fog",0
"20","World",1910,"Wildfires",107.3
"21","World",1910,"ExtremeTemperature",0
"22","World",1910,"GlacialLakeOutbursts",0
"23","World",1920,"Drought",472400
"24","World",1920,"Earthquakes",38998.6
"25","World",1920,"VolcanicActivities",14.4
"26","World",1920,"Floods",428.2
"27","World",1920,"MassMovements",0
"28","World",1920,"Storms",11998.8
"29","World",1920,"Landslides",42.8
"30","World",1920,"Fog",0
"31","World",1920,"Wildfires",10.3
"32","World",1920,"ExtremeTemperature",0
"33","World",1920,"GlacialLakeOutbursts",0
"34","World",1930,"Drought",0
"35","World",1930,"Earthquakes",16666.4
"36","World",1930,"VolcanicActivities",317.5
"37","World",1930,"Floods",436146.5
"38","World",1930,"MassMovements",4
"39","World",1930,"Storms",9383.5
"40","World",1930,"Landslides",103.3
"41","World",1930,"Fog",0
"42","World",1930,"Wildfires",7.1
"43","World",1930,"ExtremeTemperature",169.3
"44","World",1930,"GlacialLakeOutbursts",0
"45","World",1940,"Drought",345000
"46","World",1940,"Earthquakes",16772.8
"47","World",1940,"VolcanicActivities",212.6
"48","World",1940,"Floods",10103.2
"49","World",1940,"MassMovements",0
"50","World",1940,"Storms",12726
"51","World",1940,"Landslides",1752.5
"52","World",1940,"Fog",0
"53","World",1940,"Wildfires",25
"54","World",1940,"ExtremeTemperature",0
"55","World",1940,"GlacialLakeOutbursts",0
"56","World",1950,"Drought",0
"57","World",1950,"Earthquakes",2174.8
"58","World",1950,"VolcanicActivities",510
"59","World",1950,"Floods",206169.8
"60","World",1950,"MassMovements",0.3
"61","World",1950,"Storms",3125.7
"62","World",1950,"Landslides",215
"63","World",1950,"Fog",400
"64","World",1950,"Wildfires",1.1
"65","World",1950,"ExtremeTemperature",149.6
"66","World",1950,"GlacialLakeOutbursts",0
"67","World",1960,"Drought",151065
"68","World",1960,"Earthquakes",5211.9
"69","World",1960,"VolcanicActivities",324.2
"70","World",1960,"Floods",3239.4
"71","World",1960,"MassMovements",215
"72","World",1960,"Storms",13358.2
"73","World",1960,"Landslides",506.8
"74","World",1960,"Fog",0
"75","World",1960,"Wildfires",9.9
"76","World",1960,"ExtremeTemperature",112.7
"77","World",1960,"GlacialLakeOutbursts",0
"78","World",1970,"Drought",11908.1
"79","World",1970,"Earthquakes",43188.1
"80","World",1970,"VolcanicActivities",52.6
"81","World",1970,"Floods",7066.1
"82","World",1970,"MassMovements",3.1
"83","World",1970,"Storms",35720.3
"84","World",1970,"Landslides",742.2
"85","World",1970,"Fog",0
"86","World",1970,"Wildfires",0.5
"87","World",1970,"ExtremeTemperature",155.3
"88","World",1970,"GlacialLakeOutbursts",0
"89","World",1980,"Drought",55726.8
"90","World",1980,"Earthquakes",5837.2
"91","World",1980,"VolcanicActivities",2400.2
"92","World",1980,"Floods",5100.2
"93","World",1980,"MassMovements",124.8
"94","World",1980,"Storms",4606.7
"95","World",1980,"Landslides",624.9
"96","World",1980,"Fog",0
"97","World",1980,"Wildfires",39.6
"98","World",1980,"ExtremeTemperature",533.5
"99","World",1980,"GlacialLakeOutbursts",0
"100","World",1990,"Drought",313.4
"101","World",1990,"Earthquakes",10347.8
"102","World",1990,"VolcanicActivities",97.4
"103","World",1990,"Floods",9548.2
"104","World",1990,"MassMovements",66.3
"105","World",1990,"Storms",21114.8
"106","World",1990,"Landslides",852.9
"107","World",1990,"Fog",0
"108","World",1990,"Wildfires",85.9
"109","World",1990,"ExtremeTemperature",932.3
"110","World",1990,"GlacialLakeOutbursts",0
"111","World",2000,"Drought",112.6
"112","World",2000,"Earthquakes",45363.5
"113","World",2000,"VolcanicActivities",23.7
"114","World",2000,"Floods",5394.6
"115","World",2000,"MassMovements",28.2
"116","World",2000,"Storms",17213
"117","World",2000,"Landslides",771.7
"118","World",2000,"Fog",0
"119","World",2000,"Wildfires",62.9
"120","World",2000,"ExtremeTemperature",9167.9
"121","World",2000,"GlacialLakeOutbursts",0
"122","World",2010,"Drought",2012
"123","World",2010,"Earthquakes",26748
"124","World",2010,"VolcanicActivities",136.3
"125","World",2010,"Floods",5067.3
"126","World",2010,"MassMovements",10
"127","World",2010,"Storms",2763.2
"128","World",2010,"Landslides",1010.9
"129","World",2010,"Fog",0
"130","World",2010,"Wildfires",88.1
"131","World",2010,"ExtremeTemperature",7424.4
"132","World",2010,"GlacialLakeOutbursts",0
